Dataset,Embedding,Area - mean,Area - standard deviation,1NN BER
cifar100,efficientnet_b5,0.06020,0.00548,0.18179
cifar100,efficientnet_b4,0.06095,0.00542,0.18314
cifar100,efficientnet_b6,0.06173,0.00497,0.18566
cifar100,efficientnet_b3,0.06292,0.00497,0.18689
cifar100,efficientnet_b2,0.06578,0.00495,0.19420
cifar100,efficientnet_b1,0.06816,0.00476,0.19938
cifar100,efficientnet_b7,0.07098,0.00503,0.20295
cifar100,efficientnet_b0,0.07385,0.00523,0.20920
cifar100,resnet_101_v2,0.07322,0.00475,0.20933
cifar100,resnet_152_v2,0.07745,0.00537,0.21698
cifar100,resnet_50_v2,0.08216,0.00518,0.22781
cifar100,inception,0.08987,0.00527,0.24243
cifar100,googlenet,0.09696,0.00514,0.25667
cifar100,vgg19,0.11073,0.00536,0.28384
cifar100,vgg16,0.11210,0.00529,0.28665
cifar100,alexnet,0.12381,0.00529,0.31020
cifar100,pca_128,0.23935,0.00572,0.54115
cifar100,pca_64,0.24124,0.00606,0.54403
cifar100,pca_32,0.24576,0.00593,0.55368
cifar100,raw,0.25622,0.00645,0.57365
yelp,xlnet,0.00371,0.00392,0.27223
yelp,bert_uncased_large,0.00231,0.00325,0.27299
yelp,bert_cased_large,0.00348,0.00429,0.27813
yelp,bert_uncased,0.00367,0.00486,0.27919
yelp,bert_cased,0.00762,0.00414,0.28872
yelp,use_large,0.01056,0.00510,0.29389
yelp,xlnet_large,0.01233,0.00454,0.29982
yelp,use,0.01372,0.00545,0.30035
yelp,bert_uncased_pool,0.03051,0.00528,0.33466
yelp,elmo,0.03123,0.00549,0.33697
yelp,nnlm_128_normalization,0.03267,0.00516,0.33920
yelp,bert_cased_pool,0.03751,0.00532,0.34839
yelp,bert_uncased_large_pool,0.04357,0.00613,0.36087
yelp,nnlm_50_normalization,0.04511,0.00611,0.36426
yelp,nnlm_128,0.04479,0.00576,0.36442
yelp,bert_cased_large_pool,0.04922,0.00602,0.37170
yelp,nnlm_50,0.05659,0.00603,0.38753
mnist,raw,0.00948,0.00617,0.01396
mnist,pca_64,0.01067,0.00623,0.01416
mnist,pca_128,0.00992,0.00607,0.01487
mnist,pca_32,0.01095,0.00624,0.01538
mnist,efficientnet_b0,0.01599,0.00614,0.02670
mnist,efficientnet_b3,0.01719,0.00661,0.02824
mnist,efficientnet_b6,0.01705,0.00636,0.02886
mnist,efficientnet_b1,0.01787,0.00690,0.03041
mnist,inception,0.01882,0.00668,0.03041
mnist,efficientnet_b7,0.01821,0.00695,0.03078
mnist,alexnet,0.01874,0.00723,0.03124
mnist,efficientnet_b5,0.01877,0.00674,0.03181
mnist,googlenet,0.01998,0.00621,0.03477
mnist,efficientnet_b2,0.01975,0.00600,0.03644
mnist,resnet_50_v2,0.02046,0.00597,0.03743
mnist,efficientnet_b4,0.02079,0.00605,0.03816
mnist,resnet_101_v2,0.02111,0.00623,0.03826
mnist,vgg16,0.02267,0.00629,0.04088
mnist,resnet_152_v2,0.02418,0.00658,0.04340
mnist,vgg19,0.02372,0.00564,0.04350
cifar10,efficientnet_b4,0.02516,0.00632,0.05184
cifar10,efficientnet_b5,0.02738,0.00664,0.05370
cifar10,efficientnet_b3,0.02727,0.00692,0.05434
cifar10,efficientnet_b6,0.02804,0.00628,0.05754
cifar10,efficientnet_b2,0.03025,0.00676,0.06038
cifar10,efficientnet_b1,0.03360,0.00704,0.06548
cifar10,efficientnet_b7,0.03312,0.00702,0.06645
cifar10,resnet_101_v2,0.03598,0.00725,0.07192
cifar10,efficientnet_b0,0.03779,0.00651,0.07568
cifar10,resnet_152_v2,0.03892,0.00678,0.08006
cifar10,inception,0.04494,0.00733,0.08850
cifar10,resnet_50_v2,0.04382,0.00735,0.08983
cifar10,googlenet,0.05328,0.00742,0.10673
cifar10,vgg19,0.06185,0.00747,0.12422
cifar10,vgg16,0.06306,0.00727,0.12695
cifar10,alexnet,0.07673,0.00732,0.15289
cifar10,pca_128,0.17953,0.00929,0.36058
cifar10,pca_64,0.17979,0.00905,0.36209
cifar10,pca_32,0.18530,0.00927,0.37376
cifar10,raw,0.20442,0.00987,0.40961
imdb_reviews,xlnet,0.03868,0.00725,0.10798
imdb_reviews,bert_uncased_large,0.04207,0.00718,0.11568
imdb_reviews,bert_cased_large,0.05061,0.00696,0.13309
imdb_reviews,bert_uncased,0.05605,0.00699,0.14647
imdb_reviews,xlnet_large,0.06130,0.00736,0.15507
imdb_reviews,bert_cased,0.06271,0.00699,0.15827
imdb_reviews,use,0.06326,0.00740,0.15974
imdb_reviews,use_large,0.07371,0.00759,0.18097
imdb_reviews,nnlm_128_normalization,0.07735,0.00721,0.18810
imdb_reviews,elmo,0.08268,0.00810,0.19751
imdb_reviews,bert_uncased_pool,0.09085,0.00805,0.21448
imdb_reviews,nnlm_50_normalization,0.09166,0.00832,0.21532
imdb_reviews,nnlm_128,0.09187,0.00776,0.21808
imdb_reviews,bert_cased_pool,0.09373,0.00821,0.21957
imdb_reviews,bert_uncased_large_pool,0.10455,0.00851,0.23935
imdb_reviews,nnlm_50,0.10332,0.00805,0.24054
imdb_reviews,bert_cased_large_pool,0.11798,0.00835,0.27078
sst2,bert_uncased_large,0.06272,0.02119,0.13449
sst2,bert_cased_large,0.06476,0.02149,0.13922
sst2,bert_cased,0.07192,0.02406,0.15217
sst2,use_large,0.06853,0.02203,0.15382
sst2,bert_uncased,0.07711,0.02255,0.16734
sst2,elmo,0.08081,0.02373,0.16993
sst2,bert_cased_pool,0.07984,0.02203,0.17255
sst2,use,0.09393,0.02588,0.19055
sst2,nnlm_128_normalization,0.09145,0.02592,0.19241
sst2,xlnet,0.09519,0.02411,0.19806
sst2,bert_cased_large_pool,0.09831,0.02459,0.21166
sst2,bert_uncased_large_pool,0.09779,0.02628,0.21066
sst2,nnlm_128,0.10255,0.02562,0.21465
sst2,nnlm_50_normalization,0.10354,0.02431,0.21870
sst2,bert_uncased_pool,0.10755,0.02842,0.22385
sst2,xlnet_large,0.10696,0.02823,0.22489
sst2,nnlm_50,0.12221,0.02991,0.25816